S.NO,Module,CurrentTestType,TestCase,RequestType,EndPoint,StatusCode,StatusMessage,userLoginEmailId,password,programID,programDescription,programName,programStatus,batchName,batchDescription,batchStatus,batchNoOfClasses,userComments,userEduPg,userEduUg,userFirstName,userLastName,userLinkedinUrl,userLocation,userMiddleName,userPhoneNumber,roleId,userRoleStatus,userTimeZone,userVisaStatus,loginStatus,userLoginEmail,upadteRoleId,"updateuserRoleStatus
",userRoleProgramBatchStatus,status,classNo,classDate,classTopic,classStatus,classStaffId,classDescription,classComments,classNotes,classRecordingPath,classScheduleDates
1,UserLogin,Integration Testing,User Sign in,Post,/login,200,OK,sdetorganizer@gmail.com,March@2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Program,Integration Testing,Program will be added successfully,Post,/saveprogram,201,Created,,,,JanuaryDesc,NNumpyJanuaryProgram,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Batch,Integration Testing,Create a new batch for a program,Post,/batches,201,Created,,,,,,,JanuaryBatch0010,Java Course,Active,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,User,Integration Testing,User can able to create User with Roles with valid requestbody,Post,/users/roleStatus,201,Created,,,,,,,,,,,SDET User,MCA,BSC,SamAndrews,SSmithson,www.linkedin.com/Samandrews,New York,Alex,5647562323,R02,Active,EST,H4-EAD,loggedIn,samandrew@gmail.com,,,,,,,,,,,,,,
5,Class,Integration Testing,Create class with all fields,Post,/CreateClassSchedule,201,Created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025-10-06T19:04:41.220+00:01,MicroservicesHerokuHH,active,U34,EveningClass,finishItSoon,notes2,path1.2.3.45.6.3.4.,2025-10-06T19:04:41.220+00:01
6,Program,Integration Testing,Get program details be program id,Get,/programs/{{programId}},200,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Batch,Integration Testing,Get batch details by batch id,Get,/batches/batchId/{{batchId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Batch,Integration Testing,Get batch details by batch name,Get,/batches/batchName/{{batchName}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,User,Integration Testing,User can get user info by userid,Get,/users/{{userId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Class,Integration Testing,Get class details by ClassId,Get,/class/{{ClassId}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Class,Integration Testing,Get all classes by Class Topic,Get,/classes/{{ClassTopic}},200,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Program,Integration Testing,Update program details be program id,Put,/putprogram/{{programId}},200,ok,,,,JanuaryDescday,NNumpyJanuarypgm,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Batch,Integration Testing,Update batch details by batch id,Put,/batches/{{batchId}},200,OK,,,,,,,NewJanuaryBatch0010,JanuaryBatchpeople,Active,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,User,Integration Testing,Update User by UserId,PUT,/users/,200,OK,,,,,,,,,,,usercommentstest,MBA,ComputerScience,SamAndrewss,SSmithsonss,https://www.linkedin.com/Samandrewss,New Jersey,the,3646365436,,,CST,H4,,samandrewss@gmail.com,,,,,,,,,,,,,,
